2024-07-05 13:05:13,207 - Anomaly detected! Packet info: {'duration': 1720164912.689457, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 273, 'dst_bytes': 307, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:13,271 - Anomaly detected! Packet info: {'duration': 1720164912.690383, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 275, 'dst_bytes': 309, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:13,326 - Anomaly detected! Packet info: {'duration': 1720164912.70837, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 40, 'dst_bytes': 74, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:13,397 - Anomaly detected! Packet info: {'duration': 1720164912.725706, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 41, 'dst_bytes': 75, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:13,463 - Anomaly detected! Packet info: {'duration': 1720164912.973466, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 77, 'dst_bytes': 111, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:13,509 - Anomaly detected! Packet info: {'duration': 1720164912.973466, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 85, 'dst_bytes': 119, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:13,563 - Anomaly detected! Packet info: {'duration': 1720164912.973466, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 67, 'dst_bytes': 101, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:13,616 - Anomaly detected! Packet info: {'duration': 1720164912.974389, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 45, 'dst_bytes': 79, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:13,667 - Anomaly detected! Packet info: {'duration': 1720164912.974921, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 45, 'dst_bytes': 79, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:13,714 - Anomaly detected! Packet info: {'duration': 1720164912.980283, 'protocol_type': 'udp', 'service': 57655, 'flag': 0, 'src_bytes': 41, 'dst_bytes': 75, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:13,783 - Anomaly detected! Packet info: {'duration': 1720164912.994622, 'protocol_type': 'udp', 'service': 443, 'flag': 0, 'src_bytes': 33, 'dst_bytes': 67, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:15,613 - Anomaly detected! Packet info: {'duration': 1720164915.543608, 'protocol_type': 'other', 'service': 0, 'flag': 0, 'src_bytes': 12, 'dst_bytes': 50, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:15,814 - Anomaly detected! Packet info: {'duration': 1720164915.543608, 'protocol_type': 'other', 'service': 0, 'flag': 0, 'src_bytes': 12, 'dst_bytes': 50, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:15,880 - Anomaly detected! Packet info: {'duration': 1720164915.543608, 'protocol_type': 'other', 'service': 0, 'flag': 0, 'src_bytes': 12, 'dst_bytes': 50, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:16,009 - Anomaly detected! Packet info: {'duration': 1720164915.754527, 'protocol_type': 'other', 'service': 0, 'flag': 0, 'src_bytes': 24, 'dst_bytes': 62, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:16,084 - Anomaly detected! Packet info: {'duration': 1720164915.833965, 'protocol_type': 'udp', 'service': 36186, 'flag': 0, 'src_bytes': 9, 'dst_bytes': 43, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:18,636 - Anomaly detected! Packet info: {'duration': 1720164918.555342, 'protocol_type': 'udp', 'service': 64023, 'flag': 0, 'src_bytes': 183, 'dst_bytes': 217, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:18,733 - Anomaly detected! Packet info: {'duration': 1720164918.625066, 'protocol_type': 'udp', 'service': 50395, 'flag': 0, 'src_bytes': 183, 'dst_bytes': 217, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
2024-07-05 13:05:18,820 - Anomaly detected! Packet info: {'duration': 1720164918.754955, 'protocol_type': 'other', 'service': 0, 'flag': 0, 'src_bytes': 16, 'dst_bytes': 54, 'land': 0, 'wrong_fragment': 0, 'urgent': 0, 'hot': 0}
